ID,Yas,Cinsiyet,Egitim,Medeni_Durum,FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,KA1,KA2,KA3,KA4,KA5,KA6,KA7,KA8,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8
124,18.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
125,33.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,18.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,,3.0,3.0,4.0,2.0
127,25.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
128,30.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,2.0,4.0,3.0,4.0,,3.0
129,26.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0
130,28.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0
131,,1.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
132,37.0,2.0,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0
133,26.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,2.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0
134,33.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
135,25.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0
136,41.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0
137,27.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,2.0
138,27.0,2.0,5.0,,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0
139,28.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,,3.0,1.0,,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
140,32.0,2.0,4.0,2.0,3.0,4.0,3.0,,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0
141,37.0,2.0,,2.0,3.0,3.0,,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,,4.0,3.0,2.0,2.0,3.0,2.0,4.0
142,32.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,2.0
143,29.0,1.0,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0
144,21.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
145,29.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0
146,41.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
147,29.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0
148,39.0,1.0,5.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
149,24.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,,3.0,4.0,,2.0,4.0,3.0,4.0,2.0,2.0,2.0
150,37.0,2.0,2.0,2.0,2.0,,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0
151,42.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
152,28.0,2.0,2.0,1.0,3.0,2.0,2.0,,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
153,19.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,,4.0,3.0
154,29.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0
155,27.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
156,18.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,,3.0
157,26.0,2.0,5.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,,2.0,3.0,2.0,4.0,2.0,2.0,4.0,,3.0,4.0,3.0,,3.0,3.0,3.0
158,23.0,,4.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
159,39.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,
160,27.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
161,38.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,,2.0
162,25.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
163,30.0,3.0,5.0,1.0,4.0,4.0,5.0,4.0,2.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0
164,18.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0
165,20.0,2.0,3.0,,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,5.0,2.0,2.0,2.0
166,34.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
167,18.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0
168,48.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,,3.0,3.0,4.0,3.0,3.0,,4.0,3.0,2.0,3.0
169,18.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
170,32.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
171,24.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0
172,22.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0
173,18.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0
174,19.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,
175,19.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0
176,34.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0
177,28.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0
178,21.0,2.0,3.0,1.0,3.0,3.0,4.0,,2.0,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0
179,26.0,1.0,2.0,,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0
180,18.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0
181,24.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0
182,31.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,,3.0
183,18.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0
184,22.0,1.0,,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,,3.0
185,21.0,1.0,,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0
186,,2.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0
187,,1.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,,3.0,2.0,4.0
188,36.0,1.0,2.0,,4.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0
189,35.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0
190,21.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,,2.0
191,27.0,2.0,2.0,3.0,,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
192,30.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0
193,23.0,2.0,,1.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0
194,32.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
195,36.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,1.0
196,18.0,1.0,3.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0
197,34.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
198,26.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,3.0,3.0,2.0
199,30.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
200,18.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0
201,32.0,1.0,3.0,1.0,,2.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
202,34.0,2.0,3.0,1.0,4.0,3.0,,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,2.0
203,18.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0
204,31.0,1.0,2.0,,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0
205,22.0,1.0,,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
206,25.0,3.0,1.0,,4.0,4.0,4.0,3.0,2.0,4.0,3.0,,2.0,3.0,,3.0,3.0,2.0,,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0
207,19.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0
208,21.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0
209,32.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0
210,21.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0
211,28.0,,3.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0
212,26.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,
213,24.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0
214,25.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0
215,39.0,1.0,3.0,1.0,,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0
216,29.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0
217,50.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,,3.0,3.0,3.0,3.0,2.0
218,47.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,4.0,3.0,3.0,3.0,4.0,2.0
219,21.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0
220,26.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0
221,31.0,1.0,4.0,,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0
222,29.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,,2.0,3.0,3.0,3.0,4.0,5.0,3.0,,3.0,3.0,3.0,3.0,4.0,3.0
223,28.0,1.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0
224,18.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
225,32.0,1.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,,1.0,4.0,3.0,2.0
226,19.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
227,27.0,,3.0,3.0,4.0,4.0,,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
228,28.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0
229,18.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,,4.0,4.0,4.0,3.0,3.0,3.0,2.0,
230,36.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
231,57.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,,3.0,2.0,2.0,2.0
232,0.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
233,28.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0
234,31.0,3.0,3.0,3.0,3.0,,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,2.0,4.0,2.0
235,32.0,2.0,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0
236,24.0,1.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
237,24.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,,3.0,
238,23.0,2.0,,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0
239,34.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,,4.0,2.0
240,38.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,,3.0,3.0,3.0,2.0,4.0,3.0,,4.0,1.0,2.0
241,24.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0
242,27.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0
243,34.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0
244,40.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0
245,18.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,4.0,3.0,3.0,4.0
246,32.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0
247,26.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0
